Institution Name (RSSD ID),Location,12/31/2013 Total Assets
JPMORGAN CHASE & CO. (1039502),"NEW YORK, NY",2415689000
BANK OF AMERICA CORPORATION (1073757),"CHARLOTTE, NC",2104995000
CITIGROUP INC. (1951350),"NEW YORK, NY",1880035000
WELLS FARGO & COMPANY (1120754),"SAN FRANCISCO, CA",1527015000
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY",911595000
MORGAN STANLEY (2162966),"NEW YORK, NY",832666000
"AMERICAN INTERNATIONAL GROUP, INC. (1562176)","NEW YORK, NY",541329000
GENERAL ELECTRIC CAPITAL CORPORATION (1631915),"NORWALK, CT",524005141
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY",374310000
U.S. BANCORP (1119794),"MINNEAPOLIS, MN",364021000
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA",320596232
CAPITAL ONE FINANCIAL CORPORATION (2277860),"MCLEAN, VA",297282098
HSBC NORTH AMERICA HOLDINGS INC. (3232316),"NEW YORK, NY",290013881
TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170),"NEW YORK, NY",250494214
STATE STREET CORPORATION (1111435),"BOSTON, MA",243028090
TD BANK US HOLDING COMPANY (1249196),"CHERRY HILL, NJ",234621843
BB&T; CORPORATION (1074156),"WINSTON SALEM, NC",183009992
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA",175380779
AMERICAN EXPRESS COMPANY (1275216),"NEW YORK, NY",153387000
ALLY FINANCIAL INC. (1562859),"DETROIT, MI",151167000
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA",143642000
FIFTH THIRD BANCORP (1070345),"CINCINNATI, OH",129685180
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207),"BLOOMINGTON, IL",129337906
UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376),"SAN ANTONIO, TX",122342355
"RBS CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI",122257732
REGIONS FINANCIAL CORPORATION (3242838),"BIRMINGHAM, AL",117661732
BMO FINANCIAL CORP. (1245415),"WILMINGTON, DE",111073727
UNIONBANCAL CORPORATION (1378434),"SAN FRANCISCO, CA",105900020
NORTHERN TRUST CORPORATION (1199611),"CHICAGO, IL",102947333
KEYCORP (1068025),"CLEVELAND, OH",92991716
M&T; BANK CORPORATION (1037003),"BUFFALO, NY",85162391
BANCWEST CORPORATION (1025608),"HONOLULU, HI",83527474
DISCOVER FINANCIAL SERVICES (3846375),"RIVERWOODS, IL",79339664
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA",77144021
