Institution Name (RSSD ID),Location,12/31/2012 Total Assets,03/31/2013 Total Assets,06/30/2013 Total Assets,09/30/2013 Total Assets,12/31/2013 Total Assets,03/31/2014 Total Assets,06/30/2014 Total Assets,09/30/2014 Total Assets,12/31/2014 Total Assets,03/31/2015 Total Assets,06/30/2015 Total Assets,09/30/2015 Total Assets,12/31/2015 Total Assets,03/31/2016 Total Assets,06/30/2016 Total Assets,Total Sum
JPMORGAN CHASE & CO. (1039502),"NEW YORK, NY",2359141000,2389349000,2439494000,2463309000,2415689000,2476650000,2519995000,2526655000,2572773000,2577148000,2447994000,2417121000,2351698000,2423808000,2466096000,36846920000
BANK OF AMERICA CORPORATION (1073757),"CHARLOTTE, NC",2212004452,2176625000,2125686000,2128706000,2104995000,2152533000,2172001000,2126138000,2106796000,2145027000,2152082000,2154342000,2147391000,2188633000,2189811000,32282770452
WELLS FARGO & COMPANY (1120754),"SAN FRANCISCO, CA",1422968000,1436634000,1440563000,1488055000,1527015000,1546707000,1598874000,1636855000,1687155000,1737737000,1720617000,1751265000,1787632000,1849182000,1889235000,24520494000
CITIGROUP INC. (1951350),"NEW YORK, NY",1864660000,1881734000,1883988000,1899511000,1880035000,1894390000,1909369000,1882505000,1842181000,1831801000,1829370000,1808356000,1731210000,1800967000,1818771000,27758848000
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY",938770000,959426000,938611000,923359000,911595000,915705000,860008000,868995000,856301000,865512000,859932000,880607000,861419000,878102000,896870000,13415212000
MORGAN STANLEY (2162966),"NEW YORK, NY",780960000,801383000,802691000,832223000,832666000,831338000,826524000,814511000,801510000,829099000,825755000,834113000,787465000,807497000,828873000,12236608000
U.S. BANCORP (1119794),"MINNEAPOLIS, MN",353855000,355447000,353415000,360681000,364021000,371289000,389065000,391284000,402529000,410233000,419075000,415943000,421853000,428638000,438463000,5875791000
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY",359301000,355984000,360514000,371957000,374310000,368241000,400740000,386296000,385303000,392337000,395254000,377371000,393780000,372870000,372351000,5666609000
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA",305285879,300945933,304547667,308912603,320596232,323586973,327251474,334602342,345243081,351162105,354201925,362137164,358690085,361187040,361528406,5019878909
CAPITAL ONE FINANCIAL CORPORATION (2277860),"MCLEAN, VA",313040688,300293699,296670314,290217687,297282098,290886180,298653928,300444020,309083481,306501324,310636497,313827584,334179916,330489235,339247718,4631454369
HSBC NORTH AMERICA HOLDINGS INC. (3232316),"NEW YORK, NY",313680754,301737107,319108739,309312154,290013881,308847926,289551194,280272469,290100702,301956685,277249331,291611246,271888608,289057276,295534689,4429922761
TD GROUP US HOLDINGS LLC (3606542),"WILMINGTON, DE",0,0,0,0,0,0,0,0,0,0,0,261164836,267143521,274386676,276317370,1079012403
TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170),"NEW YORK, NY",237037712,239972203,243168123,247467518,250494214,252936464,256932841,261389220,262634190,264300422,266931428,268247053,270094423,272101594,276045408,3869752813
STATE STREET CORPORATION (1111435),"BOSTON, MA",222229483,217852811,226985363,216751956,243028090,256672720,282324972,274815393,274119072,279480161,294570652,247273625,245198879,243685368,255396733,3780385278
BB&T; CORPORATION (1074156),"WINSTON SALEM, NC",183872371,180836757,182735153,181050008,183009992,184651158,188012330,187021509,186813987,189227838,191017482,208808671,209947022,212405266,221858615,2891268159
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA",173566088,172527629,171609928,172033106,175380779,179553408,182585899,186860815,190446755,190223316,189107850,187255650,190989105,194253274,199276480,2755670082
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA",133637000,133324000,135907000,140211000,143642000,144066000,143401000,147445000,154642000,160169000,163627000,170402000,183718000,190998000,198052000,2343241000
AMERICAN EXPRESS COMPANY (1275216),"NEW YORK, NY",153418000,156903000,151980000,150152000,153387000,151497000,152384000,153862000,159103000,154674000,157141000,154205000,161172000,158804000,159632000,2328314000
ALLY FINANCIAL INC. (1562859),"DETROIT, MI",182347000,166199000,150627000,150556000,151167000,148452000,149937000,149195000,151828000,153524000,156472000,156105000,158581000,156505000,157931000,2339426000
RBC USA HOLDCO CORPORATION (3226762),"NEW YORK, NY",0,0,0,0,0,0,0,0,0,0,0,0,133133492,139892217,151710605,424736314
"CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI",0,0,0,0,0,0,130579630,131520691,133000128,136905651,137564322,135811131,138574068,140409385,145568297,1229933303
UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376),"SAN ANTONIO, TX",115747377,119886059,120296114,121758503,122342355,127322366,129066684,129191103,130416573,132978355,134222822,135916817,137186701,142123097,144819412,1943274338
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207),"BLOOMINGTON, IL",114933159,120085692,119778457,124091801,129337906,132022280,135478405,137646089,138797903,139397321,139365889,135372076,138494733,141283619,143801553,1989886883
FIFTH THIRD BANCORP (1070345),"CINCINNATI, OH",121500604,120789641,122642935,124939419,129685180,129654487,132562382,134187722,138705640,140469916,141658130,141917763,141082059,142430207,143625325,2005851410
BMO FINANCIAL CORP. (1245415),"WILMINGTON, DE",116109476,122361785,112349784,113051766,111073727,114499474,116160559,119791374,115879565,118263888,118131486,125419384,125656772,125793219,132007952,1786550211
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA",85790202,82733574,79218184,77070780,77144021,109168077,112512985,113538172,118353279,123425703,126316164,130930367,127633001,131098910,126502203,1621435622
